"_id",change.0,change.1,changetype.0,changetype.1,count,period.0,period.1
ABB India,0.32,7.51,+,-,2.0,weekly,monthly
Aban Offshore,7.84,5.21,+,-,2.0,weekly,monthly
Aditya Birla Fashion,3.37,3.85,+,-,2.0,weekly,monthly
Axis Bank Ltd.,0.59,8.52,+,-,2.0,weekly,monthly
Bajaj Electrical,7.46,2.61,+,-,2.0,weekly,monthly
Bharti Infratel Ltd.,1.68,6.09,+,-,2.0,weekly,monthly
Blue Dart Expres,4.14,8.0,+,-,2.0,weekly,monthly
Bombay Dyeing,1.07,13.78,+,-,2.0,weekly,monthly
CG Power and Indust,0.25,5.3,+,-,2.0,weekly,monthly
Castrol India,2.13,5.59,+,-,2.0,weekly,monthly
City Union Bank,0.29,1.76,+,-,2.0,weekly,monthly
Coal India Ltd.,0.17,8.85,+,-,2.0,weekly,monthly
Crisil,0.64,3.2,+,-,2.0,weekly,monthly
Cyient Ltd.,2.93,4.61,+,-,2.0,weekly,monthly
Dewan Housing,2.27,2.1,+,-,2.0,weekly,monthly
Dish TV India Ltd.,3.96,2.31,+,-,2.0,weekly,monthly
EID Parry,4.37,0.17,+,-,2.0,weekly,monthly
Equitas Holdings Ltd,0.03,7.2,+,-,2.0,weekly,monthly
Finolex Industri,0.85,5.12,+,-,2.0,weekly,monthly
Future Consumer,1.7,4.66,+,-,2.0,weekly,monthly
GAIL (India) Ltd.,0.86,0.52,+,-,2.0,weekly,monthly
GMR Infrastructure L,8.7,2.78,+,-,2.0,weekly,monthly
GlaxoSmithKlineConsu,0.11,1.96,+,-,2.0,weekly,monthly
Godfrey Philips,17.16,7.7,+,-,2.0,weekly,monthly
Godrej Industries Lt,0.93,14.44,+,-,2.0,weekly,monthly
Godrej Properties Lt,0.29,2.71,+,-,2.0,weekly,monthly
Granules India L,7.47,11.71,+,-,2.0,weekly,monthly
Great Eastern,1.81,3.7,+,-,2.0,weekly,monthly
HCL Technologies,1.68,3.38,+,-,2.0,weekly,monthly
Hathway Cable & Data,3.92,2.5,+,-,2.0,weekly,monthly
ICICI Bank,0.41,2.72,+,-,2.0,weekly,monthly
ICRA Ltd.,0.79,0.98,+,-,2.0,weekly,monthly
IDBI Bank Ltd.,3.44,8.46,+,-,2.0,weekly,monthly
IDFC Bank,0.46,9.43,+,-,2.0,weekly,monthly
IL&FS Transportation,0.19,18.26,+,-,2.0,weekly,monthly
ITC Ltd.,4.06,2.2,+,-,2.0,weekly,monthly
Idea Cellular Ltd.,3.13,3.1,+,-,2.0,weekly,monthly
Indian Bank,1.06,9.73,+,-,2.0,weekly,monthly
Indian Overseas,0.22,8.84,+,-,2.0,weekly,monthly
Intellect Design,5.51,6.12,+,-,2.0,weekly,monthly
JM Financial Ltd.,1.33,5.0,+,-,2.0,weekly,monthly
Jain Irrigation,0.95,12.17,+,-,2.0,weekly,monthly
Jammu & Kashmir Bank,7.07,4.35,+,-,2.0,weekly,monthly
Jubilant Life Scienc,2.07,7.3,+,-,2.0,weekly,monthly
Just Dial,4.77,4.75,+,-,2.0,weekly,monthly
Kajaria Ceramics,2.97,2.36,+,-,2.0,weekly,monthly
Kaveri Seed Company,1.33,15.0,+,-,2.0,weekly,monthly
L&T Infotech,2.59,1.8,+,-,2.0,weekly,monthly
L&T Technology Serv,1.04,4.1,+,-,2.0,weekly,monthly
Lakshmi Vilas Ba,3.67,12.62,+,-,2.0,weekly,monthly
MMTC Ltd.,0.45,3.46,+,-,2.0,weekly,monthly
Mahi. & Mahi,1.41,0.59,+,-,2.0,weekly,monthly
Manappuram Finance,6.48,9.78,+,-,2.0,weekly,monthly
Mangalore Refine,1.61,2.57,+,-,2.0,weekly,monthly
Marico Ltd.,0.38,3.04,+,-,2.0,weekly,monthly
NMDC Ltd.,0.29,1.14,+,-,2.0,weekly,monthly
National Alumini,4.84,1.91,+,-,2.0,weekly,monthly
Oriental Bank of,1.31,19.98,+,-,2.0,weekly,monthly
PI Industries,4.93,1.59,+,-,2.0,weekly,monthly
Persistent Systems,2.67,4.36,+,-,2.0,weekly,monthly
Polaris Consulting,1.91,1.9,+,-,2.0,weekly,monthly
RBL Bank,2.09,4.51,+,-,2.0,weekly,monthly
Raymond Ltd,2.03,7.07,+,-,2.0,weekly,monthly
SREI Infrastructure,0.29,13.04,+,-,2.0,weekly,monthly
SRF Ltd.,1.09,1.98,+,-,2.0,weekly,monthly
Shree Renuka Sugars,0.3,12.95,+,-,2.0,weekly,monthly
Shriram City Uni,3.84,6.63,+,-,2.0,weekly,monthly
Sobha,3.02,1.42,+,-,2.0,weekly,monthly
Steel Authority,2.5,4.73,+,-,2.0,weekly,monthly
Tata Communications,0.37,3.75,+,-,2.0,weekly,monthly
Tata Elxsi Ltd.,0.02,2.27,+,-,2.0,weekly,monthly
Tata Power Co.,0.75,3.84,+,-,2.0,weekly,monthly
Thermax,0.54,3.86,+,-,2.0,weekly,monthly
Torrent  Pharmac,2.6,1.73,+,-,2.0,weekly,monthly
UCO Bank,0.67,10.93,+,-,2.0,weekly,monthly
UltraTech Cement,1.31,3.76,+,-,2.0,weekly,monthly
Union Bank of In,2.3,15.2,+,-,2.0,weekly,monthly
United Breweries Ltd,0.86,1.62,+,-,2.0,weekly,monthly
United Spirits,2.75,6.19,+,-,2.0,weekly,monthly
