"_id",change.0,change.1,changetype.0,changetype.1,count,period.0,period.1
ABB India,0.19,7.63,+,-,2.0,weekly,monthly
Aban Offshore,5.4,7.35,+,-,2.0,weekly,monthly
Alkem Laboratories,0.19,1.45,+,-,2.0,weekly,monthly
Axis Bank Ltd.,1.61,7.6,+,-,2.0,weekly,monthly
Bajaj Electrical,9.97,0.33,+,-,2.0,weekly,monthly
Bharti Infratel Ltd.,2.22,5.59,+,-,2.0,weekly,monthly
Blue Dart Expres,3.67,8.42,+,-,2.0,weekly,monthly
Castrol India,2.38,5.36,+,-,2.0,weekly,monthly
Dewan Housing,4.01,0.44,+,-,2.0,weekly,monthly
EID Parry,3.56,0.95,+,-,2.0,weekly,monthly
GlaxoSmithKlineConsu,0.91,1.17,+,-,2.0,weekly,monthly
Godrej Industries Lt,0.03,15.2,+,-,2.0,weekly,monthly
Granules India L,9.23,10.26,+,-,2.0,weekly,monthly
Gujarat Narmada Vall,2.65,6.53,+,-,2.0,weekly,monthly
HCL Infosystem,8.15,8.63,+,-,2.0,weekly,monthly
Hathway Cable & Data,0.31,5.88,+,-,2.0,weekly,monthly
IDBI Bank Ltd.,2.87,8.97,+,-,2.0,weekly,monthly
IIFL Holdings,0.01,0.43,+,-,2.0,weekly,monthly
ITC Ltd.,4.39,1.89,+,-,2.0,weekly,monthly
Idea Cellular Ltd.,1.8,4.35,+,-,2.0,weekly,monthly
Intellect Design,5.31,6.29,+,-,2.0,weekly,monthly
Jubilant Life Scienc,3.94,5.61,+,-,2.0,weekly,monthly
Just Dial,4.86,4.67,+,-,2.0,weekly,monthly
Lakshmi Vilas Ba,3.38,12.87,+,-,2.0,weekly,monthly
Mahi. & Mahi,1.39,0.61,+,-,2.0,weekly,monthly
Manappuram Finance,3.1,12.64,+,-,2.0,weekly,monthly
Oriental Bank of,1.01,20.21,+,-,2.0,weekly,monthly
PI Industries,1.63,4.69,+,-,2.0,weekly,monthly
Polaris Consulting,1.91,1.9,+,-,2.0,weekly,monthly
RBL Bank,1.05,5.49,+,-,2.0,weekly,monthly
Shree Renuka Sugars,3.28,10.36,+,-,2.0,weekly,monthly
Shriram City Uni,3.62,6.83,+,-,2.0,weekly,monthly
Tata Power Co.,0.57,4.02,+,-,2.0,weekly,monthly
United Breweries Ltd,1.1,1.38,+,-,2.0,weekly,monthly
United Spirits,0.97,7.81,+,-,2.0,weekly,monthly
Zee Entertainment En,0.24,6.71,+,-,2.0,weekly,monthly
